Hamburger SV;FC Bayern München;1;0;0;2145;1233347400000
Hannover 96;FC Schalke 04;1;0;0;2146;1233415800000
1. FC Köln;VfL Wolfsburg;1;1;0;2147;1233415800000
Borussia Dortmund;Bayer Leverkusen;1;1;0;2148;1233415800000
Hertha BSC;Eintracht Frankfurt;2;1;0;2149;1233415800000
VfL Bochum;Karlsruher SC;2;0;0;2150;1233507600000
1899 Hoffenheim;Energie Cottbus;2;0;0;2151;1233415800000
Werder Bremen;Arminia Bielefeld;1;2;0;2152;1233507600000
VfB Stuttgart;Bor. Mönchengladbach;2;0;0;2153;1233415800000
FC Schalke 04;Werder Bremen;1;0;0;2154;1234020600000
Karlsruher SC;Hamburger SV;3;2;0;2155;1234020600000
Bayer Leverkusen;VfB Stuttgart;2;4;0;2156;1234020600000
Energie Cottbus;Hannover 96;3;1;0;2157;1234112400000
Arminia Bielefeld;Hertha BSC;1;1;0;2158;1233952200000
VfL Wolfsburg;VfL Bochum;2;0;0;2159;1234020600000
FC Bayern München;Borussia Dortmund;3;1;0;2160;1234112400000
Bor. Mönchengladbach;1899 Hoffenheim;1;1;0;2161;1234020600000
Eintracht Frankfurt;1. FC Köln;2;2;0;2162;1234020600000
Hertha BSC;FC Bayern München;2;1;0;2163;1234625400000
VfL Bochum;FC Schalke 04;2;1;0;2164;1234625400000
Eintracht Frankfurt;VfL Wolfsburg;0;2;0;2165;1234625400000
Hannover 96;VfB Stuttgart;3;3;0;2166;1234625400000
1899 Hoffenheim;Bayer Leverkusen;1;4;0;2167;1234557000000
1. FC Köln;Karlsruher SC;0;0;0;2168;1234625400000
Borussia Dortmund;Energie Cottbus;1;1;0;2169;1234717200000
Hamburger SV;Arminia Bielefeld;2;0;0;2170;1234717200000
Werder Bremen;Bor. Mönchengladbach;1;1;0;2171;1234625400000
Energie Cottbus;Werder Bremen;2;1;0;2172;1235230200000
Bayer Leverkusen;Hamburger SV;1;2;0;2173;1235322000000
Bor. Mönchengladbach;Hannover 96;3;2;0;2174;1235230200000
Karlsruher SC;Eintracht Frankfurt;0;1;0;2175;1235230200000
VfL Wolfsburg;Hertha BSC;2;1;0;2176;1235230200000
Arminia Bielefeld;VfL Bochum;1;1;0;2177;1235230200000
FC Schalke 04;Borussia Dortmund;1;1;0;2178;1235161800000
VfB Stuttgart;1899 Hoffenheim;3;3;0;2179;1235230200000
FC Bayern München;1. FC Köln;1;2;0;2180;1235230200000
Werder Bremen;FC Bayern München;0;0;0;2181;1235926800000
Eintracht Frankfurt;FC Schalke 04;1;2;0;2182;1235835000000
Hamburger SV;VfL Wolfsburg;1;3;0;2183;1235926800000
Karlsruher SC;VfB Stuttgart;0;2;0;2184;1235926800000
Hannover 96;Bayer Leverkusen;1;0;0;2185;1235835000000
VfL Bochum;Energie Cottbus;3;2;0;2186;1235835000000
1. FC Köln;Arminia Bielefeld;1;1;0;2187;1235766600000
Hertha BSC;Bor. Mönchengladbach;2;1;0;2188;1235835000000
Borussia Dortmund;1899 Hoffenheim;0;0;0;2189;1235835000000
1899 Hoffenheim;Werder Bremen;0;0;0;2191;1236439800000
Bor. Mönchengladbach;Hamburger SV;4;1;0;2192;1236439800000
FC Bayern München;Hannover 96;5;1;0;2193;1236439800000
Arminia Bielefeld;Eintracht Frankfurt;0;0;0;2194;1236531600000
Energie Cottbus;Hertha BSC;1;3;0;2195;1236439800000
VfL Wolfsburg;Karlsruher SC;1;0;0;2196;1236439800000
Bayer Leverkusen;VfL Bochum;1;1;0;2197;1236531600000
VfB Stuttgart;Borussia Dortmund;2;1;0;2198;1236439800000
