VfL Wolfsburg;VfB Stuttgart;2;0;20;5275;1249677000000
Borussia Dortmund;1. FC Köln;1;0;35;5276;1249745400000
1. FC Nürnberg;FC Schalke 04;1;2;21;5277;1249745400000
SC Freiburg;Hamburger SV;1;1;26;5278;1249839000000
Werder Bremen;Eintracht Frankfurt;2;3;36;5279;1249745400000
Hertha BSC;Hannover 96;1;0;22;5280;1249745400000
1. FSV Mainz 05;Bayer Leverkusen;2;2;23;5281;1249745400000
1899 Hoffenheim;FC Bayern München;1;1;24;5282;1249756200000
VfL Bochum;Bor. Mönchengladbach;3;3;25;5283;1249831800000
FC Bayern München;Werder Bremen;1;1;34;5284;1250350200000
VfB Stuttgart;SC Freiburg;4;2;37;5285;1250350200000
Hamburger SV;Borussia Dortmund;4;1;27;5286;1250350200000
FC Schalke 04;VfL Bochum;3;0;33;5287;1250443800000
Bayer Leverkusen;1899 Hoffenheim;1;0;28;5288;1250350200000
Hannover 96;1. FSV Mainz 05;1;1;29;5289;1250350200000
1. FC Köln;VfL Wolfsburg;1;3;31;5290;1250361000000
Eintracht Frankfurt;1. FC Nürnberg;1;1;30;5291;1250350200000
Bor. Mönchengladbach;Hertha BSC;2;1;32;5292;1250436600000
VfL Wolfsburg;Hamburger SV;2;4;20;5293;1251048600000
Borussia Dortmund;VfB Stuttgart;1;1;35;5294;1250955000000
1899 Hoffenheim;FC Schalke 04;0;0;24;5295;1250886600000
Werder Bremen;Bor. Mönchengladbach;3;0;36;5296;1251048600000
1. FC Köln;Eintracht Frankfurt;0;0;31;5297;1250955000000
VfL Bochum;Hertha BSC;1;0;25;5298;1251041400000
SC Freiburg;Bayer Leverkusen;0;5;26;5299;1250955000000
1. FSV Mainz 05;FC Bayern München;2;1;23;5300;1250955000000
1. FC Nürnberg;Hannover 96;0;2;21;5301;1250955000000
FC Bayern München;VfL Wolfsburg;3;0;34;5302;1251570600000
VfB Stuttgart;1. FC Nürnberg;0;0;37;5303;1251559800000
Hertha BSC;Werder Bremen;2;3;22;5304;1251646200000
Hamburger SV;1. FC Köln;3;1;27;5305;1251653400000
FC Schalke 04;SC Freiburg;0;1;33;5306;1251559800000
Bayer Leverkusen;VfL Bochum;2;1;28;5307;1251559800000
Hannover 96;1899 Hoffenheim;0;1;29;5308;1251559800000
Eintracht Frankfurt;Borussia Dortmund;1;1;30;5309;1251559800000
Bor. Mönchengladbach;1. FSV Mainz 05;2;0;32;5310;1251491400000
VfL Wolfsburg;Bayer Leverkusen;2;3;20;5311;1252769400000
Hamburger SV;VfB Stuttgart;3;1;27;5312;1252780200000
Borussia Dortmund;FC Bayern München;1;5;35;5313;1252769400000
1899 Hoffenheim;VfL Bochum;3;0;24;5314;1252769400000
Werder Bremen;Hannover 96;0;0;36;5315;1252855800000
1. FC Köln;FC Schalke 04;1;2;31;5316;1252863000000
SC Freiburg;Eintracht Frankfurt;0;2;26;5317;1252769400000
1. FSV Mainz 05;Hertha BSC;2;1;23;5318;1252769400000
1. FC Nürnberg;Bor. Mönchengladbach;1;0;21;5319;1252769400000
FC Bayern München;1. FC Nürnberg;2;1;34;5320;1253374200000
VfB Stuttgart;1. FC Köln;0;2;37;5321;1253374200000
Hertha BSC;SC Freiburg;0;4;22;5322;1253467800000
FC Schalke 04;VfL Wolfsburg;1;2;33;5323;1253305800000
